148657718.6909,-8881028.7115,0.0000,0.0000,0.0000,-3027788.5197,-800926.1198,-33303896.8128,0.0000,0.0000,-3444282.1711,-1568235.5343,-40908615.7367,0.0000,0.0000
-8881028.7115,589320210.5248,0.0000,0.0000,0.0000,-604687.2616,34490849.8004,-333495.8430,0.0000,0.0000,1190303.6645,51206739.3262,5485182.5623,0.0000,0.0000
0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-3027788.5197,-604687.2616,0.0000,0.0000,0.0000,292259937.3610,-441223.7161,382035560.5915,0.0000,0.0000,39810520.4884,933964.2850,81006811.7039,0.0000,0.0000
-800926.1198,34490849.8004,0.0000,0.0000,0.0000,-441223.7161,323285910.8369,8045833.8568,0.0000,0.0000,1861911.3167,73152505.9759,7648932.4023,0.0000,0.0000
-33303896.8128,-333495.8430,0.0000,0.0000,0.0000,382035560.5915,8045833.8568,1130111837.2352,0.0000,0.0000,82765709.6876,5272275.9177,316748550.4807,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-3444282.1711,1190303.6645,0.0000,0.0000,0.0000,39810520.4884,1861911.3167,82765709.6876,0.0000,0.0000,457166285.9012,19153651.6639,736411105.9359,0.0000,0.0000
-1568235.5343,51206739.3262,0.0000,0.0000,0.0000,933964.2850,73152505.9759,5272275.9177,0.0000,0.0000,19153651.6639,640537508.0256,70135940.6226,0.0000,0.0000
-40908615.7367,5485182.5623,0.0000,0.0000,0.0000,81006811.7039,7648932.4023,316748550.4807,0.0000,0.0000,736411105.9359,70135940.6226,2525508877.3547,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
