-0.3307,0.0000,0.1501,0.0000,0.0000
0.0000,-0.3307,0.0030,0.0000,0.0000
-0.0000,-0.0000,-0.0010,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
-0.3347,-0.0000,-0.3251,0.0000,0.0000
-0.0000,-0.3347,-0.0065,0.0000,0.0000
-0.0000,-0.0000,-0.4995,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
-0.3347,-0.0000,-0.3251,0.0000,0.0000
-0.0000,-0.3347,-0.0065,0.0000,0.0000
-0.0000,-0.0000,-0.4995,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000
