281129486.6821,-5721469.6139,0.0000,-2341288.7908,0.0000,-182470773.9852,8062758.4169,0.0000,-44484487.0256,0.0000
-5721469.6139,281129486.6821,0.0000,2341288.7908,0.0000,8062758.4169,-182470773.9852,0.0000,44484487.0256,0.0000
0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-2341288.7908,2341288.7908,0.0000,1423721.7507,0.0000,3765009.5489,-3765009.5489,0.0000,27050694.2629,0.0000
0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
-182470773.9852,8062758.4169,0.0000,3765009.5489,0.0000,287488285.0535,-12080267.9853,0.0000,76585181.4283,0.0000
8062758.4169,-182470773.9852,0.0000,-3765009.5489,0.0000,-12080267.9853,287488285.0535,0.0000,-76585181.4283,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
-44484487.0256,44484487.0256,0.0000,27050694.2629,0.0000,76585181.4283,-76585181.4283,0.0000,614963191.9951,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
